"tmp_study_case_id";"bme_name";"description"
"6";"Public";"The bike-share system is publicly owned and implemented as a social benefit. Hangzhou Public Bicycle Company is a subsidiary of the Hangzhou Public Transport Corporation, a state-owned enterprise, and is responsible for the construction, operation, and development of the system."
"6";"Initiatives to promote Bicycling";"Bike-share systems in China are city-level projects initiated by the city government as a social benefit."
"6";"User Charges";"The first hour of use is free, following which users have to pay 1 yuan RMB ($0.15) for the second hour, 2 yuan RMB ($0.30) for the third hour, and 3 yuan RMB ($0.44) for every additional hour after that. Users need to provide a deposit of 200 yuan RMB ($30) to be able to use their transit card on the bike-share system (as of 2011)."
"6";"Advertising Revenue";"The system also generates revenue by selling advertising space on its bicycle docking stations. Revenue from advertising is very low and cannot cover operating costs, which need to be funded by the government."
"6";"City Budget";"The Hangzhou government invested 180 million yuan RMB ($26.35 million) to launch the program. The city also subsidizes annual operating costs."
"6";"Concessional Loan";"The Hangzhou government provided a discounted governmental loan of 270 yuan RMB ($39.53 million) to the enterprise."
"7";"Sidewalks/Plazas";
"7";"Dedicated Bicycle Lanes";
"7";"Bicycles";"3rd Generation bike-share system comprising of 5359 bikes across 163 stations."
"7";"Road Safety";"The central and local governments in Taiwan have built some 3,000 km of bike paths in the country with plans to add 2,600 km more in the coming years."
"7";"Integration with Public Transit";"The EasyCard, used to access Taipei’s public transit system can be used to check out bikes."
"7";"Transit Access";"You Bike docking stations are located outside Taipei’s MRT stations and major transit hubs to provide last-mile connectivity to public-transit users."
"7";"Affordability";"The rates for riding a You Bike have been kept very low to encourage more people to switch to biking."
"7";"Redistribution/Rebalancing";"Redistribution of bikes during morning peak-hour was a major challenge in Taipei. The operator contracted Microprogram to manage You Bike’s cloud-based data processing requirements. Every You Bike transaction is recorded by the station transmitting a signal to the cloud when a bike is checked out or returned, enabling the operator to move bikes from over-crowded stations to ones that are empty. The operators have deployed ‘movers’ that are essentially moving staff on bicycles who receive PDA alerts from Microprogram about bike volumes at stations. Movers pedal to high-volume stations and move excess bikes to a storage area. Other movers transport these bikes to empty stations using trucks or vans."
"7";"Build-Operate-Transfer (BOT) Contract";"The Taipei City Department of Transportation has signed a 7-year BOT contract with local bike manufacturer, Giant Bikes. Under the BOT agreement, Giant keeps 85% of rental income and returns 15% to the Taipei City Government. When the contract expires in 2017, the city will take ownership of all You Bike hardware and will receive all income."
"7";"Sponsorship Agreement";"Signed with Cardif Insurance Vie to display their logo on bicycles and other equipment."
"7";"Public-Private Sponsorship (PPP)";"You Bike is implemented and managed by the Taipei City Department of Transportation (public entity), and built, operated, and currently owned by Giant Bikes (private, for-profit entity), which will transfer ownership to the City at the end of the BOT Contract period."
"7";"Subscription/Membership Fees";"You Bike operates primarily on rental income. The bikes can be rented for one-time use by registering at a kiosk using a cell phone with a Taipei SIM card and/or paying by credit card. Long-term users can purchase an EasyCard, used on all public transit modes in Taipei at any station or kiosk and pay by the ride. Users are charged USD 0.32 for every 30 minutes up to four hours, USD 0.64 per every 30 minutes for rides exceeding 4 but within 8 hours and USD 1.28 for every 30 minutes exceeding 8 hours."
"7";"User Charges";"You Bike operates primarily on rental income. The bikes can be rented for one-time use by registering at a kiosk using a cell phone with a Taipei SIM card and/or paying by credit card. Long-term users can purchase an EasyCard, used on all public transit modes in Taipei at any station or kiosk and pay by the ride. Users are charged USD 0.32 for every 30 minutes up to four hours, USD 0.64 per every 30 minutes for rides exceeding 4 but within 8 hours and USD 1.28 for every 30 minutes exceeding 8 hours."
"7";"Fines for misuse of Service/Asset";"A fine of USD 288 is levied for lost bikes."
"7";"Non-exclusive Private Sponsorship";"Cardif Insurance Vie, an insurance subsidiary of BNP Paribas Group paid USD 75,600 for signage rights."
"7";"Public Grant";"The pilot program was initiated with a public grant of USD 302,600 from the Taipei City Department of Transportation. Subsequently, the Environmental Protection Administration contributed funds to subsidize the first 30-minutes of the ride."
"7";"Direct Equity";"Giant has also invested its own capital in the program."
"8";"Sidewalks/Plazas";
"8";"On-street parking space";
"8";"Space between landscaped areas and adjacent to other infrastructure";
"8";"Dedicated Bike Lanes";
"8";"Maintenance and Storage Facilities";"Maintenance workshop, and a store."
"8";"Premises for Control Center and Administrative Facilities";"Central server and management facility"
"8";"Bicycles";"Bicing is a 3rd Generation bike-share system comprising of 6,000 bikes and 420 docking stations. In 2015, the city introduced Electric Bicing, comprising of 300 electrical bikes in 46 specialized stations across the city. Electric Bicing stations are often located in underground parking garages, and the primary intention of these bikes is to enable users to navigate steep slopes and harsh winds."
"8";"Vehicles";"The system has 3 vans for rebalancing and maintenance."
"8";"Road Safety";"Barcelona had 116 km of dedicated bicycle lanes in 2015 with plans to reach 308 km by 2018, so that 95% of the population will have at least one bike lane 300m from their homes."
"8";"Bicycle Culture";"Recently, Bicing has developed an app that rewards certain behaviors and is meant to incentivize riders for increasing physical activity."
"8";"Transit Access";"A majority of Bicing stations are near entrances to the underground and over ground train stations and public car parks."
"8";"Affordability";"The annual user fee to access the system is €47.16, one of the lowest in the world."
"8";"Build-Operate Concession Contract";"Bicing is managed by B:SM, which has entered into a 10-year concession contract with Clear Channel Outdoor to build and operate the bike-share system based on its ‘Smart Bike’ model at a fixed annual operating cost."
"8";"Sponsorship Agreement";"In 2014, telecom giant Vodafone entered into a three-year agreement with BSM to become the exclusive sponsor for Bicing. Vodafone will provide €4 million and technical support to develop internet and mobile-based apps to the system over three years in exchange for naming rights and displaying it logo on bikes, stations, and all other Bicing equipment."
"8";"Public-Private Sponsorship (PPP)";"The system is publicly owned and managed by B:SM (public entity) and operated by Clear Channel Outdoor (Private, for-profit entity)."
"8";"Transportation Plan";"Barcelona Urban Mobility Plan (2013-2018): Developing bicycle infrastructure such as dedicated bicycle lanes is one of the key components of the city’s Urban Mobility Plan."
"8";"Subscription/Membership Fees";"All Bicing users have to pay an annual membership fee of €47.16, which entitles them to ride the bike-share system free-of-charge for the first 30 minutes. Rides exceeding 30 minutes but within two hours are charged €0.74, while exceeding two hours invites a penalty of €4.49 per hour."
"8";"User Charges";"All Bicing users have to pay an annual membership fee of €47.16, which entitles them to ride the bike-share system free-of-charge for the first 30 minutes. Rides exceeding 30 minutes but within two hours are charged €0.74, while exceeding two hours invites a penalty of €4.49 per hour."
"8";"-	Fines for misuse of Service/Asset";"If the user fails to return a bicycle after 24 hours, a fine of €150 is imposed. Bicing is meant to be primarily used for short rides, hence exceeding the 2-hour ride limit more than thrice may result in suspension or cancellation of membership."
"8";"Exclusive Private Sponsorship";"Since 2014, Vodafone has become the exclusive title sponsor, providing €4 million over three years."
"8";"Public Grant";"The Barcelona City Council subsidizes operation and maintenance costs through annual public grants."
"8";"Parking Fees";"Parking spaces in the Barcelona are classified into three types, the green, the blue, and the white zone. Each zone has different hourly parking rates, and can be used by specific user-groups. The City uses parking fees obtained from these spaces (especially the green spaces, which have the highest charges) to pay the system operator every year. In 2007, the City Council paid €2.23 million raised through parking fees to procure and install the first phase of the system."
"9";"Sidewalks/Plazas";
"9";"Dedicated Bicycle Lanes";
"9";"Bicycles";"4th Generation bike-share system comprising of 1,250 bikes and 80 stations powered by solar panels."
"9";"Road Safety";"Berlin is one of the safest cities for bicycling, with the city actively undertaking numerous projects to improve bicycling infrastructure in the city since 2004. Some of the key features include more than 830 km of dedicated bike lanes, of which 175 km are along main roads. The city has imposed a 30km/her speed limit on side streets, making them safe for bicyclists, with dedicated bicycle signage."
"9";"Ease of Access";"Users can check out bikes after a one-time registration either online or via telephone, using a credit card. Individual bike locks have a telephone number that one needs to call to get a code, which has to be entered on the lock display panel to unlock a bike."
"9";"Transit Access";"Call-a-Bike stations are located outside most major MRT stations and transport hubs in Berlin."
"9";"Affordability";"Call-a-Bike has some of the lowest annual membership fees and per minute usage charges, with discounts for users with DB cards."
"9";"Build-Operate Concession Contract";"The city has signed a concession with DB Rent to build and operate the system."
"9";"Public";"Publicly owned and managed: The system is implemented and operated by DB Rent, a subsidiary of the German Railway Deutsche Bahn, dedicated to shared mobility (bicycles and automobiles) in collaboration with the Berlin Senate Department for Urban Development and participating urban districts."
"9";"Bicycle Plan";"National Bicycling Master Plan: Germany is one of few countries in the world that have a National Bicycling Master Plan. Since the 1970s, the Federal and local governments in the country have heavily invested in developing bicycle infrastructure in the country."
"9";"Subscription/Membership Fees";"The system has two types of charging structures. Users can either pay by the minute at a rate of 8 cents per minute (6 cents for Bahn Card holders) with a maximum charge of €9 for 24 hours and €36 for a week. Alternatively, users can sign up for an annual membership for €99 (lower rates for Bahn Card Holders) and get first 30 minutes of every ride free-of-charge, then pay similar rates for every additional minute."
"9";"User Charges";"The system has two types of charging structures. Users can either pay by the minute at a rate of 8 cents per minute (6 cents for Bahn Card holders) with a maximum charge of €9 for 24 hours and €36 for a week. Alternatively, users can sign up for an annual membership for €99 (lower rates for Bahn Card Holders) and get first 30 minutes of every ride free-of-charge, then pay similar rates for every additional minute."
"9";"Public Grant";"Call-a-Bike in Berlin was funded by a public grant from the Federal Ministry of Transport (Department of Building and Urban Affairs). Information on the amount of the grant and what investment components it covered was not available at time of writing."
"10";"Sidewalks/Plazas";
"10";"On-street parking space";
"10";"Space between landscaped areas and adjacent to other infrastructure";
"10";"Dedicated Bicycle Lanes";"The city has a well-developed network of dedicated bicycle lanes, and has also constructed ‘Cycle Superhighways’, which are cycle routes running from outer London into central London as the quickest and the safest way to bike to work."
"10";"Maintenance and Storage Facilities";"Bicycle repair facilities in two locations."
"10";"Bicycles";"3rd Generation system comprising of 13,600 bikes and 839 docking stations."
"10";"Road Safety";"The well-developed network of dedicated bicycle lanes, and ‘Cycle Superhighways’ make bicycling in the city quite safe."
"10";"Bicycle Culture";"Upon its launch, the City organized 45 roadshows across the city to demonstrate the registration and bike hiring process. TfL provides one-to-one and group cycle training sessions free of charge. Additionally, promotion strategies such as free rides on specific weekends and giveaways are employed."
"10";"Transit Access";"Bicycle stations are located outside mass transit stops, major bus stops, and other transportation hubs."
"10";"Procurement Contract";"Bikes and station equipment are provided by PBSC Urban Solutions."
"10";"Build-Operate Concession Contract";"TfL entered into a concession contract with Serco for planning, designing, constructing, and operating the system. The operations contract is Key Performance Indicator (KPI) driven, and output based, with fines for failing to meet the KPIs. In 2015 the £26.17 million annual operating costs were recovered with £5.15 million from the sponsorship, £10.78 million from user fees, and the remaining from a public subsidy. There are no revenue risks on the service provider."
"10";"Sponsorship Agreement";"Outlines timeline for disbursement of sponsorship funds and guidelines to display the Santander logo on bicycles, station equipment, keys, rebalancing vehicles, and maintenance staff vests."
"10";"Public-Private Sponsorship (PPP)";"The system is publicly owned and managed by TfL (public entity) and operated by Serco (Private, for-profit entity)."
"10";"Subscription/Membership Fees";"Santander Cycles has two access fee options, 24-hour access for £2 and an annual membership for £90. On paying the access fee, users can check out bicycle free-of-charge for the first 30 minutes and pay £2 for every additional 30 minutes."
"10";"User Charges";"Santander Cycles has two access fee options, 24-hour access for £2 and an annual membership for £90. On paying the access fee, users can check out bicycle free-of-charge for the first 30 minutes and pay £2 for every additional 30 minutes."
"10";"Fines for misuse of Service/Asset";"Failure to return a bike or damaged bikes incur a charge of £300."
"10";"Exclusive Private Sponsorship";"Starting out, the scheme was partly funded by a private sponsorship from Barclays bank between 2010 and 2015. Barclays did not renew the sponsorship and in April 2015, Santander UK took over as the exclusive sponsor, providing £43,750,000 to the scheme until 2022."
"10";"Public Grant";"The initial funding came from a public grant for capital expenses."
"10";"City Budget";"The city subsidizes annual operating costs."
"11";"Sidewalks/Plazas";
"11";"Space between landscaped areas and adjacent to other infrastructure";
"11";"On-street Parking spaces";"Each station (15 to 25m long) displaces three to five parking spaces."
"11";"Dedicated bicycle lanes";"Dedicated bicycle lanes with physical barriers to separate cyclists from motorized traffic. The city has developed a comprehensive cycling plan that outlines investments in bicycling infrastructure such as expansion of the bicycling network between 2015 and 2020, amongst other things."
"11";"Bicycles";"3rd Generation bike-share system comprising of 23,600 bikes in 1,800 stations located across the city. Service vehicles for maintenance that run on electric power or natural gas. SOMUPI also paid for billboards, and street furniture for which it acquired advertising rights"
"11";"Road Safety";"Paris has over 700km of dedicated bike lanes that separate bicyclists from other traffic using physical barriers. The city publishes pocket guides containing maps for pedestrians and bicyclists."
"11";"Integration with public transit";"Long-term subscribers can sign up online using Navigo, the Parisian Public Transit pass, and use the same pass to check out bikes."
"11";"Bicycle Culture";"The City Hall initiated an awareness campaign to ensure that users of motorized transport on Parisian streets shared road space with Velib users. Velib has recently launched Petit Velib in several public spaces in the city. An effort towards inculcating bicycling habits at an early age, this service enables families to rent out four different types of bikes for children aged 2 to 8, and learn bicycling in pedestrian environments in the city . The city also shuts certain streets to vehicular traffic on Sundays and public holidays to encourage walking and bicycling."
"11";"Transit Access";"The station locations have been carefully planned to be easily accessible to public transit in the city."
"11";"Affordability";"The short and long-term membership charges are very low, and Velib also offers discounted memberships for young riders, students, and individuals eligible for social benefits from the state."
"11";"Scoping, planning, and project design (including feasibility studies)";"The planning process was undertaken in close collaboration with Architects of French Buildings (ABF), which is the entity responsible for protection of historic buildings, and streetscapes. ABF provided advice regarding the location of Velib stations so that historic streetscapes were not adversely affected. The Parisian Urbanism Office (APUR) conducted studies to help determine network sizing, and station location. Stations were planned such that they did not create obstacles for pedestrians, including people with impaired mobility."
"11";"Outdoor Advertising Concession";"SOMUPI is responsible for implementing, and managing the system in return for exclusive rights to provide and operate bus shelters, announcement boards, and other street furniture, which serve as physical support for 1,628 lucrative advertising boards. While the revenue generated by Velib from membership fees and user charges (expected to be more than 30 million Euros a year) goes to the city, SOMUPI is entitled to 12 percent of Velib revenues plus payment by the city of an amount equal to 12 percent of advertisement sales (around 10 million Euros) if it meets all contractual standards for operation. The total investment and operational cost of the system is estimated to be 30 million Euros over the 10-year contract period."
"11";"Public-Private Partnership (PPP)";"The system is owned by the City of Paris and operated by SOMUPI, a joint venture between JC Decaux and Publicis."
"11";"City Development Plan";"Espaces Civilisés (“Civilized Spaces”): Launched by the city of Paris in 2001 to convert the city’s great boulevards into ""civilized spaces"". The main objectives were to make public space pedestrian, bicycle and bus-friendly, limit the speed of traffic, and improve the urban environment."
"11";"Subscription/Membership Fees";"As of 2016, Velib offers two types of long-term annual memberships, Velib Classic at €29, and Velib Passion at €39. The first thirty minutes of each trip are free-of-charge for Velib Classic users, while Velib Passion users get first 45 minutes free-of-charge. The first additional half-hour is charged €1, the second €2, and €4 for every additional half-hour beyond that. Short-term memberships comprise of a 24-hour pass for €1.7 and a 7-day pass for €8, for unlimited 30-minute trips. The user charges for additional time are same as that for the long-term passes. Short-term users also need to pay a deposit of €150, which is pre-authorized on their credit card."
"11";"User Charges";"As of 2016, Velib offers two types of long-term annual memberships, Velib Classic at €29, and Velib Passion at €39. The first thirty minutes of each trip are free-of-charge for Velib Classic users, while Velib Passion users get first 45 minutes free-of-charge. The first additional half-hour is charged €1, the second €2, and €4 for every additional half-hour beyond that. Short-term memberships comprise of a 24-hour pass for €1.7 and a 7-day pass for €8, for unlimited 30-minute trips. The user charges for additional time are same as that for the long-term passes. Short-term users also need to pay a deposit of €150, which is pre-authorized on their credit card."
"11";"Lease of Space";"SOMUPI pays 32 million Euros to the city in space rental fees."
"11";"Advertising space on Billboards and Public Furniture";"SOMUPI is expected to earn 60 million Euros per year as advertising revenue from the billboards."
"11";"Direct Equity";"SOMUPI has invested 90 million Euros towards capital costs for constructing the system."
"12";"Sidewalks/Plazas";
"12";"On-street parking space";
"12";"Space between landscaped areas and adjacent to other infrastructure";
"12";"Dedicated Bicycle Lanes";
"12";"Bicycles";"4th Generation bike-share system consisting of 2600 bikes across 300 stations provided by Smoove."
"12";"Road Safety";"The city has 170km of dedicated bike paths, which the DOT plans to expand to 700km. The city has also changed the law to allow cyclists to use the city’s bus lanes."
"12";"Integration with Public Transit";"Users can register to access the system using Moscow’s transit card called the ‘TROIKA Transport Card’."
"12";"Bicycle Culture";"The city organizes an annual ‘Let’s Bike It’ parade to encourage Muscovites to ride bicycles."
"12";"Affordability";"The pricing, especially for long-term users is priced to be very affordable ($9 and $13.06 for a monthly pass and seasonal pass respectively)."
"12";"Procurement Contract";"CityBike has procured bicycles and equipment from Smoove."
"12";"Sponsorship Agreement";"Sponsorship agreements with Bank of Moscow and Sberbank of Russia."
"12";"Public-Private Partnership";"The system is implemented by Bank of Moscow in collaboration with the Moscow Department of Transportation and operated by CityBike."
"12";"Subscription/Membership Fees";"As of 2016, Velobike offers three types of memberships. A 24-hour pass can be obtained for $2.3, a monthly pass for $9, and a seasonal pass for $ 13.06. Each type of pass enables users to unlimited 30-minute rides with incremental charges for every additional 30-minutes up to 48 hours."
"12";"User Charges";"As of 2016, Velobike offers three types of memberships. A 24-hour pass can be obtained for $2.3, a monthly pass for $9, and a seasonal pass for $ 13.06. Each type of pass enables users to unlimited 30-minute rides with incremental charges for every additional 30-minutes up to 48 hours."
"12";"Non-Exclusive Private Sponsorship";"The system is sponsored by Bank of Moscow and Sberbank of Russia."
"13";"Sidewalks/Plazas";
"13";"On-street parking space";
"13";"Space between landscaped areas and adjacent to other infrastructure";
"13";"Dedicated Bicycle Lanes";
"13";"Bicycles";"3rd Generation bike-share system consisting of 5000 bikes across 360 stations covering 19 municipalities of Brussels."
"13";"Road Safety";"The Brussels Capital Region has developed the ICR (regional bicycle routes), which are essentially a network of public roads with dedicated bike-lanes to allow cyclists to ride safely. The network consists of 3 loops (small and average loops), as well as radial roads going from the suburb to the city center."
"13";"Integration with Public Transit";"Users can register online for the bike-share using Mobib, the Brussels Public transit card and use the same card at kiosks to check out bikes."
"13";"Bicycle Culture";"The city organizes an annual Car Free Day as a part of European Mobility Week to enable people to use non-motorized transport modes such as bikes, roller blades, etc. on the streets of Brussels. The city has developed extensive shared parking spaces for bicycles."
"13";"Affordability";"The cost of tickets for short-term access is quite low and the annual membership fee is one of the lowest in the world."
"13";"Advertising (bike-equipment) Concession";"The City of Brussels has contracted the operation of the system to JC Decaux in a contract that expires in 2026. JCDecaux recovers operating costs from membership fees, user charges, selling advertising space on equipment, and advertising rights on a specific number of billboards stipulated in the contract."
"13";"Outdoor Advertising Concession";"The City of Brussels has contracted the operation of the system to JC Decaux in a contract that expires in 2026. JCDecaux recovers operating costs from membership fees, user charges, selling advertising space on equipment, and advertising rights on a specific number of billboards stipulated in the contract."
"13";"Public-Private Partnership";"The system is implemented by the City of Brussels and participating municipalities in the region, and operated by JC Decaux."
"13";"Membership/Subscription Fees";"As of 2016, Villo offers short-term memberships for 24 hours for €1.6 and 7 days for €7.9, and an annual membership for €33.5. All membership types enable users to make unlimited 30-minute trips. The first additional 30-minutes are charges €0.5, the next €1, and €2 for subsequent 30-minute increments."
"13";"Advertising revenue";"JCDecaux also procures revenue from selling advertising space on bicycle fenders."
"13";"Advertising space on Billboards and Public Furniture";"The City of Brussels has given JCDecaux the right to place 614 advertising billboards sized between 2 sq.m and 45 sq.m throughout the city. The company is also exempt from taxes levied on advertising revenue from such panels."
"14";"Sidewalks/Plazas";
"14";"Space between landscaped areas and adjacent to other infrastructure";
"14";"Dedicated Bicycle Lanes";
"14";"Bicycles";"3rd Generation bike-share system consisting of 5000 bikes across 50 stations spread throughout the commune."
"14";"Road Safety";"The commune has an existing network of dedicated bike-paths, with plans for future expansion."
"14";"Outdoor Advertising Concession";"The municipality has contracted the operation of the system to Clear Channel in a street furniture concession contract. Clear Channel recovers operating costs from membership fees, user charges, and advertising rights on a specific number of billboards stipulated in the contract."
"14";"Public-Private Partnership (PPP)";"The system is implemented by the Municipal Government of Las Condes and operated by Clear Channel."
"14";"Membership/Subscription Fees";"As of 2016, the system offers an annual pass for $68 and a monthly pass for $8.5, which entitles users to unlimited 30-minute rides free-of-charge. Every additional 30-minutes are charged $1.5, and non-return of the bicycle beyond 24-hours will incur a charge of $39."
"14";"User Charges";"As of 2016, the system offers an annual pass for $68 and a monthly pass for $8.5, which entitles users to unlimited 30-minute rides free-of-charge. Every additional 30-minutes are charged $1.5, and non-return of the bicycle beyond 24-hours will incur a charge of $39."
"14";"City Budget";"The Municipal Government of Las Condes covers one third of the system operating costs."
"14";"Advertising space on Billboards and Public Furniture";"A third of the operating costs are covered by the advertising revenue obtained by Clear Channel from placing advertisements on billboards and public furniture stipulated in the concession contract."
"15";"Sidewalks/Plazas";
"15";"Dedicated Bicycle Lanes";
"15";"Bicycles";"4th Generation bike-share system comprising of 600 bikes and 60 stations powered by solar panels."
"15";"Road Safety";"The municipal government is in the process of increasing the existing bike lane network from 240 km to cover more than 450 km."
"15";"Ease of Access";"Users can unlock bikes by calling the Bike Rio hotline and entering the station code, and bike dock number."
"15";"Procurement Contract";"The bikes and station equipment are provided by a local manufacturer, SAMBA Systems, while the cell phone application is designed by Mobilicidade."
"15";"Build-Operate Concession Contract";"The city has signed a concession with Serttel to build and operate the system."
"15";"Sponsorship Agreement";"Sponsorship Agreement with Itau Bank."
"15";"Public-Private Partnership (PPP)";"The system is managed by the City of Rio de Janeiro and operated by Serttel."
"15";"Subscription/Membership Fees";"Users can either purchase a daily pass (valid for 24 hours) for R$5. This can be purchased at any station or by calling the Bike Rio helpline and providing credit card information. Monthly passes are offered for R$10, and need to be purchased online. Both types of passes entitles users to unlimited 60-minute rides. Bikes can be checked out again after 15 minute intervals between rides. Rides exceeding 60 minutes are charged R$5 for every excess hour."
"15";"User Charges";"Users can either purchase a daily pass (valid for 24 hours) for R$5. This can be purchased at any station or by calling the Bike Rio helpline and providing credit card information. Monthly passes are offered for R$10, and need to be purchased online. Both types of passes entitles users to unlimited 60-minute rides. Bikes can be checked out again after 15 minute intervals between rides. Rides exceeding 60 minutes are charged R$5 for every excess hour."
"15";"Exclusive Private Sponsorship";"Itau Bank is the exclusive private sponsor, and its logo is displayed on the bikes, and station equipment."
"16";"Sidewalks/Plazas";
"16";"Dedicated Bicycle Lanes";
"16";"Bicycles";"3rd Generation bike-share system comprising of bikes across solar-powered stations."
"16";"Road Safety";"The city has a well-developed network of dedicated bicycle lanes. In 2007, the city launched Transantiago, a program to overhaul the city’s public transportation system. This initiative brought order to the city’s bus routes, making the roads safer for bicyclists."
"16";"Build-Operate Concession Contract";"The governments of Santiago and 14 adjacent provincial municipalities have entered separate Build-Operate Concession contracts with B-Cycle Latam, a subsidiary of Trek International."
"16";"Sponsorship Agreement";"Itau Bank is the exclusive sponsor for the system, with its logo displayed on all equipment."
"16";"Public-Private Partnership (PPP)";"The system is owned by the respective municipalities, and operated by B-Cycle Latam."
