"tmp_bme_id";"name";"assessment_value"
"80";"An attractive sponsorship program that provides high visibility to the sponsor’s brand.";"1"
"80";"Sponsorship options for different types of sponsors.";"1"
"80";"Well-defined project objectives, and tangible social and environmental benefits.";"1"
"80";"Opportunity for sponsors to associate their brand with a sustainable, environmentally-friendly social benefit and enhance brand visibility.";"1"
"80";"Systems in larger cities are more likely to attract big sponsors compared to those in smaller cities.";"2"
"80";"Sponsors may not renew their contract after the agreement term ends, requiring the operator to procure new sponsors.";"2"
"80";"If the sponsoring entity acquires a bad reputation or gets embroiled in a controversy, it may affect the image of the bike-share system.";"2"
"81";"Legislative provision to lease space to a private entity.";"1"
"81";"Careful allocation of space to prevent hindrance to pedestrian movement, vehicular traffic, and other activities.";"1"
"82";"Eligibility to receive a grant.";"1"
"82";"Proven ability to utilize funding.";"1"
"82";"Could be limited in size and used only for specific aspects (e.g. capital expenses).";"2"
"82";"Eligibility may be restricted (in terms of who can access the grant and what it can be used for).";"2"
"82";"Use up public funds, which could be prioritized for other purposes.";"2"
"83";"Eligibility to receive a grant.";"1"
"83";"Proven ability to utilize funding.";"1"
"83";"Could be limited in size and used only for specific aspects (e.g. capital expenses).";"2"
"83";"Eligibility may be restricted (in terms of who can access the grant and what it can be used for).";"2"
"83";"Have to compete with other projects/initiatives to qualify.";"2"
"84";"Eligibility to receive a donation.";"1"
"84";"Proven ability to utilize funding.";"1"
"84";"Often limited in amount.";"2"
"84";"Could be one-time.";"2"
"85";"High anticipated usage.";"1"
"85";"Potential of increasing foot-traffic.";"1"
"85";"Opportunity to connect to the larger transportation network in the city.";"1"
"85";"Consensus in choosing station locations.";"2"
"86";"Availability of funds.";"1"
"86";"Often limited funds.";"2"
"86";"Willingness to allocate funds to bike-share depends on the incumbent leadership’s commitment to bicycling in the city.";"2"
"87";"Legislative provisions for revenue transfer.";"1"
"87";"Coordination with parking authorities.";"1"
"88";"Legislative provisions for revenue transfer.";"1"
"88";"Coordination with tax-collecting authorities.";"1"
"88";"Difficult to implement since numerous entities strongly lobby against it.";"2"
"88";"Irregular revenue source (amount can vary each month).";"2"
"89";"Legislative provisions for revenue transfer.";"1"
"89";"Coordination with fee-collecting authorities.";"1"
"89";"Not an assured revenue source, as amount of fees collected can change based on extent of activity.";"2"
"90";"Legislative provision to lease space on public assets.";"1"
"90";"Having advertising billboards with good visibility.";"1"
"90";"Having street furniture designed to integrate advertising space.";"1"
"90";"Careful allocation of advertising space to adequately compensate the operator.";"1"
"90";"The advertising rate per square meter differs from one city to another, requiring cities with lower advertisement rates to provide additional incentives to the operator.";"2"
"90";"Cities with high advertising rates need to have proper revenue-sharing arrangements in place to ensure that the operator is not over-compensated.";"2"
"115";"Political will and commitment to reducing GHG at the national level.";"1"
"115";"Often high-level, has to be adapted to local contexts.";"2"
"115";"Could be difficult to implement based on local conditions.";"2"
"116";"Clear legislative frameworks with well-developed regulations and policies.";"1"
"116";"Coordination between different agencies may be difficult.";"2"
"116";"Legislation/initiatives may change with political cycles depending on environmental commitments of incumbent city leaders.";"2"
"118";"Ability to convert vision into enabling legislation, and regulations.";"1"
"118";"Build capacity to facilitate implementation of outlined strategies.";"1"
"118";"Objectives and initiatives are high-level, outlining the long-term vision of the city, need to be translated into actionable projects.";"2"
"118";"There may be a gap between proposed initiatives and enabling legislative and institutional structures in the city.";"2"
"65";"Develop enabling legislation, and regulations.";"1"
"65";"Build capacity to facilitate implementation of the plan.";"1"
"119";"Objectives and initiatives can be high-level, outlining the long-term vision of the city.";"2"
"119";"There may be a gap between the initiatives planned and enabling legislative and institutional structures in the city.";"2"
"119";"Mobilizing funds could be a challenge.";"2"
"120";"Clearly define the initiatives and outline projects to be undertaken.";"1"
"120";"Develop enabling legislation, and regulations.";"1"
"120";"Build capacity to facilitate implementation of the plan.";"1"
"120";"Objectives and initiatives can be high-level, outlining the long-term vision of the city.";"2"
"120";"There may be a gap between the initiatives planned and enabling legislative and institutional structures in the city.";"2"
"120";"Mobilizing funds could be a challenge.";"2"
"121";"Choosing the most effective scale and methodology.";"1"
"121";"Developing strategic partnerships and collaborations with technical experts.";"1"
"121";"Sometimes the chosen scale could not be the best one to assess the true impact of an experimental approach.";"2"
"122";"Presence of a local energy legislation.";"1"
"122";"Availability of funding, and financing mechanisms.";"1"
"122";"Huge upfront investments in generation plants, and distribution networks.";"2"
"123";"Effective awareness and promotion strategies coupled with attractive incentives.";"1"
"123";"Technical ability to build capacity.";"1"
"124";"Clear definitions of requirements and standards.";"1"
"124";"Capacity to administer and regulate requirements.";"1"
"125";"Established review and permitting mechanisms and capacity to conduct reviews.";"1"
"125";"Could lead to extended administrative processes, and delayed approvals.";"2"
"126";"Clearly defined energy performance or sustainability standards.";"1"
"126";"Standards aligning with available certifiers and service providers in the market.";"1"
"127";"Clearly outlined requirements.";"1"
"127";"Capacity to enforce them.";"1"
"128";"Development of a central database to maintain building certificate records.";"1"
"128";"Resources and capacity to maintain and monitor the database.";"1"
"129";"Ability to develop enabling policies, and regulations.";"1"
"129";"Ability to develop an implementation framework.";"1"
"129";"There may be a gap between the initiatives planned and enabling legislative and institutional structures at lower levels of the government.";"2"
"130";"Ability to develop and amend complementing legislation.";"1"
"130";"Ability to develop an implementation plan.";"1"
"130";"Amending legislation such as zoning codes can take a long time, affecting the implementation timeframe.";"2"
"131";"Ability to develop enabling policies, and regulations.";"1"
"131";"Ability to develop an implementation framework.";"1"
"131";"There may be a gap between the initiatives planned and enabling legislative and institutional structures at lower levels of the government.";"2"
"132";"Developing codes that respond to the local geography and climate, and technology markets.";"1"
"133";"Clear definitions of requirements and standards.";"1"
"133";"Supporting processes such as development review and permitting to enforce requirements.";"1"
"133";"Amending legislation such as zoning codes can take a long time.";"2"
"134";"Develop a strong implementation framework.";"1"
"134";"Capacity to enforce and regulate requirements.";"1"
"71";"Need to meet eligibility requirements.";"1"
"135";"Often tailored to a specific activity.";"2"
"136";"Need to meet eligibility requirements.";"1"
"136";"Often tailored to a specific activity.";"2"
"137";"Need to meet eligibility requirements for all lenders.";"1"
"138";"Eligibility to receive a grant.";"1"
"138";"Proven ability to utilize funding.";"1"
"82";"Could be limited in size and used only for specific aspects (e.g. capital expenses).";"2"
"82";"Eligibility may be restricted (in terms of who can access the grant and what it can be used for).";"2"
"82";"Use up public funds, which may be used for other purposes.";"2"
"139";"Eligibility to receive a grant.";"1"
"139";"Proven ability to utilize funding.";"1"
"139";"Could be limited in size and used only for specific aspects (e.g. capital expenses).";"2"
"139";"Eligibility may be restricted (in terms of who can access the grant and what it can be used for).";"2"
"139";"Usually disbursed at the national-level.";"2"
"140";"Eligibility to receive a donation.";"1"
"140";"Proven ability to utilize funding.";"1"
"140";"Often limited in amount.";"2"
"140";"Could be one-time.";"2"
"141";"Eligibility to receive a grant.";"1"
"141";"Proven ability to utilize funding.";"1"
"141";"Could be limited in size and used only for specific aspects (e.g. capital expenses).";"2"
"141";"Eligibility may be restricted (in terms of who can access the grant and what it can be used for).";"2"
"141";"Usually disbursed at the national-level.";"2"
"142";"Structuring fee reductions such that they are attractive to developers.";"1"
"143";"Publicly-owned utility companies.";"1"
"143";"Rebates structured such that they are attractive to consumers and encourage resource conservation.";"1"
"145";"Structuring bonuses and certification requirements that are aligned with each other, and are attractive to developers.";"1"
"145";"Requires an amendment to the Zoning Code and/or Building Regulations, which could be a protracted process.";"2"
"146";"Needs to ensure that there are adequate setbacks from adjacent properties.";"1"
"146";"Requires an amendment to the Zoning Code and/or Building Regulations, which could be a protracted process.";"2"
"147";"Availability of funding and technical capacity to implement such initiatives and programs.";"1"
