"tmp_study_case_id";"name";"city";"iso";"situation";"solution";"operational_year";"category_1";"category_2";"category_3"
14;"Bici Las Condes";"Municipality of Las Condes";"CHL";"The Municipality of Las Condes was seeking to create a network that would connect residential neighborhoods to commercial or service areas, and enabling users to make short trips with ease.";"In 2015, the municipality launched Bici Las Condes, a bike-share system within the commune comprising of 500 bicycles across 50 stations in partnership with outdoor advertising firm Clear Channel. However, the system is not integrated with Bike Santiago, a metropolitan bike-share system covering Santiago and 14 surrounding municipalities. This has proven to be extremely inconvenient for users travelling to and from Las Condes, who either need to switch systems or switch to public transit for their trips outside the commune .";2015;"Mobility";"Bike sharing systems";"District-level Bike-Share Systems"
15;"Bike Rio";"Rio de Janeiro";"BRA";"The Municipal Government of Rio de Janeiro wanted to introduce bicycling as a clean, and healthy transportation alternative to reduce traffic congestion, greenhouse gas emissions, and air pollution in the central areas of Rio. The city hoped to promote bicycling as a healthy habit for the sedentary population and improve the overall urban environment.";"In 2011, the city launched a public bike-share system in the neighborhoods of Copacabana, Ipanema, Leblon, Jardim, Botanico, Gavia, Botafogo, Urca, Flamengo, and Centro. The system was subsequently expanded to cover 14 districts in the city.";2011;"Mobility";"Bike sharing systems";"District-level Bike-Share Systems"
16;"Bike Santiago";"Santiago de Chile";"CHL";"Biking was gaining popularity in Santiago de Chile. In 2008, Providencia, a borough in Santiago launched the first public bike-share program in the city with 40 bicycles in 10 stations.";"In 2013, Bike Santiago was launched as an intercommunal (metropolitan system operating across different communes or municipalities of Santiago) public bicycle system with 300 bikes in 30 stations in the commune of Vitacura. The system was expanded to two other communes in the following year. Providencia joined the system in early 2015, and by the end of the year, the system had expanded to seven more communes. The system is operated by B-Cycle Latam, a Latin American subsidiary of B-Cycle USA.";2013;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
17;"Ciclo Sampa";"Sao Paulo";"BRA";"Since cycling provides good exercise with many health benefits, and is an environmentally friendly way to get around, in 2012, the City of Sao Paulo implemented a citywide bike-share system sponsored by Itau Bank to reduce traffic and air pollution.";"In 2013, the Government of Sao Paulo implemented a new district-level bicycle sharing scheme called Ciclo Sampa, sponsored by Bradesco Seguro, around Avenida Paulista, with five bicycle stations. Ciclo Sampa is a part of Conviva Movimento, an initiative of Bradesco Seguro to create harmonious coexistence of drivers, bicyclists, and pedestrians in the city. The bike-share system doesn’t charge membership fees, and operates as a social benefit. Users can register for free and take unlimited 30-minute rides. The scheme has subsequently expanded to a total of 17 stations in the Paulista region and is operational between 6 am and 10 pm. However, the system has limited coverage, and is not integrated with the larger city-wide bicycle sharing scheme.";2013;"Mobility";"Bike sharing systems";"District-level Bike-Share Systems"
18;"EcoBici Buenos Aires";"Buenos Aires";"ARG";"In 2010, Buenos Aires launched ‘Mejor en Bici’ (Better by Bike) program to promote bicycling as a strategy to tackle traffic congestion, and public transportation challenges in the city. Developed in collaboration with ITDP, C40, and the Clinton Climate Initiative, this program consisted of developing bicycle infrastructure in the city such as dedicated bike-lanes and a public bike-share system .";"As a part of this program, the city launched a pilot bike-share system, EcoBici, which opened in 2010 with 72 bicycles in 3 stations open only during business hours. The system was manually-operated with the bicycles locked up in sheds, instead of outdoor docking points, and checked out by attendants working at each shed. The system gradually expanded to 32 stations with 850 bikes. In 2015, it underwent its biggest expansion with a technology upgrade to make it fully automated and open 24 hours .";2010;"Mobility";"Bike sharing systems";"District-level Bike-Share Systems"
19;"EcoBici Mexico City";"Mexico City";"MEX";"In 1992, the United Nations reported that Mexico City was the most polluted city on the planet. High automobile usage, traffic congestion and uncontrolled sprawl had resulted in a range of environmental problems for the city.  In 2007, Mayor Marcelo Ebrard introduced ‘Plan Verde’ or ‘Green Plan’, as a long-term initiative to reduce Greenhouse Gas emissions and mitigate climate change. Under this initiative, the city launched a Climate Action Program in 2008 which ran until 2012 and had the primary objective of reducing the city’s carbon dioxide emissions by 7 million tons (12%) in that period through strategic interventions such as sustainable transport, waste management, water and land conservation, and alternative energy. The previous mayor and Secretary of Environment visited bike-share systems in cities in France and Denmark to understand their implementation.";"In 2009, the city developed a document entitled ‘Strategies for Bicycling in Mexico City’ in partnership with UNAM, a local university, and Gehl Architects. Subsequently, the city invited companies like JCDecaux, Clear Channel, and Bixi to bid for a bike-share scheme through an international competitive bidding process. In 2010, the city engaged Clear Channel Outdoor to implement EcoBici as a public bike-share system in collaboration with the city’s environment department, SEDEMA. Starting out in six downtown districts flanking Reforma and Insurgentes, EcoBici was envisaged as a sustainable transportation alternative under the city’s Climate Action Program. Between 2010 and 2014, the system has undergone 4 phases of expansion and currently covers an area of 35 sq. km.";2010;"Mobility";"Bike sharing systems";"City-wide Bike-Share Systems"
20;"EnCicla";"Medellin";"COL";"The Metropolitan Area of the Valley of Aburra (Medellin Metropolitan Region) government was working on an integrated and complementary alternative to the city’s public transit system, and was simultaneously working with other municipalities in the region to create awareness about bicycling as a sustainable mode of transport.";"In 2011, the government partnered with the local EAFIT University to test a pilot bike-share system comprising of 105 bikes across 6 manually operated stations. Two years later, the system underwent its first expansion, and in 2014, automated stations replaced some of the manually operated stations. The service operated Monday to Friday between 5:30 am and 8:00 pm. Online registration with a valid ID is required to gain access to the system. The expanded system was operated until December 2015 by TEBA-MYSVIAL, a Spanish-Colombian firm engaged in road safety and related work. The government planned to expand the system in 2016 and launched an RFP to invite private bids. However, no operator was deemed suitable, and the city took over all the operations of the system in early 2016.";2011;"Mobility";"Bike sharing systems";"City-wide Bike-Share Systems"
21;"Bixi Montreal";"Montreal";"CAN";"The City of Montreal was seeking to reduce automobile usage in the city, and cut down on resulting environmental pollution. A public bike-share system targeted towards commuters was tabled as a promising option in 2007, during the preparation of the Montreal Transportation Master Plan. The city officials viewed bike-share as a sustainable public transit alternative.";"The system was originally implemented by Montreal's parking authority (Societé en commandite stationnement de Montréal), a quasi-public agency because they had the expertise with wireless technologies that would be needed to implement the system. The parking authority created the Public Bike System Company (PBSC) to manage, operate and further develop the system in Montreal . PBSC launched Bixi in Spring 2009 with 2,400 bikes across 300 stations, and expanded the system in April 2010, with additional 600 bikes, to become the first large public bike-share system in North America. PBSC also started exporting bicycle-sharing equipment internationally to other cities (a move that raised questions whether a publicly owned agency should engage in for-profit ventures). In 2014, Bixi filed for bankruptcy, due to non-payment of dues from international buyers (Citi Bike and Divvy) owing to glitches in equipment and software. Subsequently, its assets were transferred to the City of Montreal at a cost of $11.9 million (deducted from the outstanding city loan to PBSC) . PBSC was bought by a private investor and named PBSC Urban Solutions. PBSC has since become a private company, offering its bike-share expertise and equipment to cities around the world. Subsequently, the city created a non-profit, Public Bixi Montreal to operate the bike-share system.";2009;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
22;"Capital Bikeshare";"Washington, DC";"USA";"In an effort to reduce traffic congestion, environment pollution and need for parking space, while also increase the use of public transportation and improve public health, Washington DC launched its first public bicycle-sharing program in 2008. Named SmartBike, the program comprised of 120 bikes at 10 stations and was operated by Clear Channel Outdoor. The program met with moderate success due to its small size and limited coverage.";"In 2010, the District of Columbia Department of Transportation (DDOT) along with the government of Arlington county in Virginia started reviewing proposals for a regional Bike-share system. The operator (Motivate: Previously Alta Bicycle Share) was chosen through an RFP process based on needs of the localities and the tristate region. In September 2010, the city launched Capital Bikeshare, a metropolitan bike-share scheme covering DC and Arlington County in Virginia with 1,100 bikes across 114 stations, 100 in all eight DC wards, and 14 in Arlington County. In 2012, the City of Alexandria in Virginia joined the program with 8 stations, and in 2013, Montgomery County in Maryland joined with 51 stations across its six neighborhoods. The scheme has undergone subsequent expansion to become one of the largest bike-share systems in North America.";2010;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
23;"Citi Bike";"New York";"USA";"The New York City Department of Transportation (NYC DOT) was investigating the merits of alternative forms of transportation to reduce carbon emissions, traffic and transit congestion, and road safety, and improve public health in the city. A 2008 study on local automobile trips published by the agency found that 10% trips are under one-half mile, 22% are under one mile, and 56% are less than 3 miles, all distances that can be readily served by a bicycle. Already promoting bicycling as a transportation alternative since 2006 under Mayor Michael Bloomberg’s long-term sustainability plan called PlaNYC; the city had successfully built over 260 miles of bicycling infrastructure and was deemed ready for a citywide bike-share system.";"In 2011, NYC DOT selected Alta Bicycle Share (now Motivate) as the operator for a public bicycle sharing system and undertook a comprehensive public input process. In 2012, the system’s name was announced, with Citibank as the title sponsor and Master Card as the Preferred Payment Partner. Citi Bike was launched in 2013 with 6000 bikes in 300 stations across most of Manhattan, and some areas of Brooklyn, to become the largest bike-share system in the United States. NYC DOT conducted an extensive engagement process to determine station locations in the high-density, and mixed-income NYC neighborhoods. The program was funded entirely through private sponsorships, with Citi Bank as the title sponsor, and owned and operated by Alta Bicycle Share. The city did not subsidize the scheme in anyway with public funds. Subsequently, the system was expanded to 8,000 bikes and 500 stations across Manhattan, Brooklyn, Queens, and Jersey City. In 2014, Alta Bicycle Share was acquired by Bike Share Holdings LLC and renamed ‘Motivate’. This also saw an infusion of fresh capital into the system to facilitate expansion in the coming years.";2013;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
24;"Divvy Bikes";"Chicago";"USA";"In 2007, Chicago’s mayor rode a Velib bicycle and hoped to bring bike-share to the city. Six years later, under Mayor Rahm Emanuel, the City of Chicago committed to promoting environmentally responsible initiatives and alternative modes of transportation to ensure that it was a bicycle-friendly municipality. In order to reduce dependency on vehicles, especially for short trips, and thereby reduce traffic congestion, vehicle emissions, and demand for parking, the city decided to enhance the existing public transportation system by implementing a public bike-share system that provided the first and/or last leg of a trip.";"In 2013, Chicago Department of Transportation (CDOT) launched Divvy bike-share with 750 bikes in 75 stations in various neighborhoods of the city. The system underwent a series of expansions with 3000 bikes across 300 stations within a few months of its launch, and 4,000 bikes across 400 stations in the following Spring. The system has recently expanded to two Chicago suburbs that have organized their own funding. Chicago’s public bike-share is one of the many initiatives taken by the city to promote bicycling in the city. It is complemented by Chicago Streets for Cycling Plan 2020, which calls for a 645 mile network of biking facilities to be in place by 2020 to provide bicycle accommodation within half-mile for every Chicagoan .";2013;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
25;"Hubway";"Boston";"USA";"Bicycle use was growing rapidly in Boston. In 2007, former Mayor Thomas Menino initiated ‘the Boston Bikes program’ within the Boston Transportation Department to make Boston an excellent bicycling city by promoting bike culture, equitable bike access, and creating safe bicycling conditions.";"In 2011, the City of Boston launched Hubway, under the Boston Bikes program as a healthy and environmentally conscious transportation alternative for its residents and visitors, with 610 bicycles in 61 stations across the city. In summer 2012, the system was expanded to provide coverage to the neighboring cities of Cambridge, Brookline, and Somerville. By the end of 2015, the system covered an area of 25 square miles in the region. Hubway is open spring, summer, and fall in Boston, Brookline, and Somerville, and year-round in Cambridge. The system is operated by Motivate (previously Alta Bicycle Share).";2011;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
26;"Indego";"Philadelphia";"USA";"Of the ten largest cities in the United States, Philadelphia had the largest proportion of bicycle commuters, with more than 10,000 individuals biking to work each day. Several recreational trips in the city too, were being made on bicycles. However, room to store a bicycle was hard to come by in the city due to numerous factors. The Philadelphia City Council recognized the market opportunity for a public bike-share system in the city and commissioned feasibility and scoping studies in 2008.";"In April 2015, Indego was launched with 600 bikes in 60 stations across Center City, University City, North Philly, West Philly, South Philly, and the Navy Yard. Owing to tremendous response, the system was expanded in Spring 2016 with 300 additional bikes and 24 stations in other Philadelphia neighborhoods. The system also introduced a new scheme that allowed low-income residents to access the system at subsidized rates.";2015;"Mobility";"Bike sharing systems";"District-level Bike-Share Systems"
27;"Kansas City B-Cycle";"Kansas City";"USA";"Bike Walk KC is a local advocacy group and non-profit based in Kansas City, engaged in encouraging active living, and physical activity in the city. For several years, the organization has been pro-active in the city encouraging environmental and public health improvements through transportation alternatives such as bike share that promote physical activity, for short-trips in the city.";"In 2012, as a part of its efforts to encourage healthy lifestyles that have the potential to transform the urban environment, Bike Walk KC implemented a bike-share system in downtown Kansas City with 90 bicycles available at 12 docking stations. Primarily aimed to provide short-trips in the city, the system became quite popular and the non-profit almost doubled the number of stations in 2014 with private sponsorships and public grants.";2012;"Mobility";"Bike sharing systems";"District-level Bike-Share Systems"
28;"Nice Ride";"Minneapolis";"USA";"Minneapolis was actively exploring bicycle sharing as a transportation alternative to avoid traffic congestion, reduce fossil fuel dependence, reduce carbon footprint, facilitate efficient movement of people around the city, and promote a healthy lifestyle. The City’s main goal for implementing a bike-share system was to promote short, local trips on bicycles.";"In 2008, Mayor R.T. Rybak and the City of Lakes Nordic Ski Foundation initiated the Twin Cities Bike Share Project, which evaluated bike share systems through an RFP and developed a non-profit business plan based on a combination of public and private funding. Nice Ride Minnesota, was an NGO formed under this initiative in June 2009 to implement and operate the city’s bicycle sharing scheme. The first phase of the scheme was launched in June 2010, with 700 bikes across 65 stations in Minneapolis neighborhoods. In 2011, a second phase added 500 bikes and 51 stations, expanding the system to St. Paul. The system underwent three more phases of expansion, with the last one in 2015 bringing the total number of bicycles to 1,700 .  Nice Ride is seasonal, operating between first week of April through first week of November.";2010;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
29;"San Antonio B-Cycle";"San Antonio";"USA";"San Antonio city officials were working to strengthen economic competitiveness, while combating challenges such as urban sprawl, traffic congestion, and the negative health effects of sedentary lifestyles. In 2009, the City launched an RFP, which had three components. A public bike-share system was one of them. In 2011, the City Council also adopted the Bicycle Master Plan to encourage citizens to use bicycles as a transportation alternative.";"San Antonio B-Cycle was launched in 2011 as a healthy, and environmentally friendly transportation alternative in the downtown and surrounding districts. Initially comprising of 140 bikes in 13 locations, part of the capital funding was obtained through funding available for improving public health by leveraging the potential health benefits of the system . The system was designed to encourage people to use bikes for short trips around downtown. San Antonio Bike Share, a non-profit staffed by Bike World, a local bicycle retailer, was created to manage and operate the system. The Director of the City’s Office of Sustainability is a member of the non-profit’s Board of Directors.";2011;"Mobility";"Bike sharing systems";"District-level Bike-Share Systems"
30;"ADCB Bike Share";"Abu Dhabi";"ARE";"In 2012, two Emirati entrepreneurs established Cyacle, a bike-share start-up with an aim to bring bike-share as an environmentally friendly, healthy, affordable and easy transportation alternative for cities in the UAE.";"ADCB Bikeshare was implemented in 2014, with 75 bicycles across 11 stations, in the Al Muneera and Al Zeina areas of the privately developed Yas Island and Al Raha’s Al Bandar. Permits to locate bike-share stations were obtained from the respective developers of these neighborhoods. Motivate was the main consultant engaged by Cyacle for designing the system.";2014;"Mobility";"Bike sharing systems";"District-level Bike-Share Systems"
31;"Delhi Metro Public Bicycle Sharing Scheme";"New Delhi";"IND";"In early 2010, the Delhi Metro Rail Corporation (DMRC) launched the Delhi Metro Cycle Feeder Service to provide last-mile connectivity to metro users as a pilot program at one metro station. The system provided service at over 16 metro stations. Users could check out bikes at metro stations and leave them at bicycle shelters located in their neighborhoods. By 2014, the service had shrunk to only one station.";"In 2015, DMRC partnered with Greenolution to launch a software-based public bicycle sharing scheme (PBS), enabling commuters to rent a cycle from a metro station and return them to stations in nearby localities and vice versa. The scheme started at one station and has since expanded to seven stations. Users are issued a rechargeable Smart Card that tracks trips and bicycle locations. Users are sent details about their trip charges via text messages. The service is available between 8am and 8pm during summers and 8am to 7pm during winters (Monday to Saturday). On Sundays, the service shuts at 4pm.";2015;"Mobility";"Bike sharing systems";"Neighborhood-level Bike-Share Systems"
32;"Namma Cycle";"Bangalore";"IND";"Bengaluru is one of the fastest growing cities in India, facing issues such as traffic congestion, and environmental pollution. H.R. Murali, a Bangalore-based software consultant founded the Ride a cycle Foundation (RAC-F), with the goal of advocating for bicycling as an environment-friendly mode of personal transport. RAC-F conceived a pilot public bike-share system in the Indian Institute of Science (IISc) Campus in Bengaluru with the intention of promoting bicycle use amongst the student and faculty, which could then be scaled-up to various city neighborhoods.";"In February 2012, the Ride a Cycle Foundation, IISc, EMBARQ India, and Gubbi Labs signed a Memorandum of Understanding (MoU) to implement Namma Cycle as a pilot bike-share program on the IISc campus. The system began operations in August 2012 with 6 stations. Although the primary users were IISc students, the system is open to public. Based on user trends, locations of some of the stations were changed to areas with more demand.";2012;"Mobility";"Bike sharing systems";"Campus-level Bike-Share Systems"
33;"Tel-O-Fun";"Tel Aviv";"ISR";"The City of Tel Aviv was exploring strategies to cut down on automobile usage in the city, reduce air pollution, and encourage physical activity and fitness amongst its residents.";"In 2011, the City of Tel Aviv launched a bike-share program in some districts of the city, deploying 250 bicycles across 35 docking stations. The system was developed in collaboration with the German Railways Deutsche Bahn (DB) that runs bike-share systems in several German cities, and University of Tel Aviv. The system subsequently underwent expansion in phases and in 2015, it was expanded to the neighboring towns of Ramat Gan and Givatayim. The city also undertook construction of dedicated bicycle lanes in the city to complement the bike-share system and promote bicycling as a sustainable transportation alternative.";2011;"Mobility";"Bike sharing systems";"Metropolitan Bike-Share Systems"
34;"Hong Kong";"Hong Kong";"HKG";"Buildings account for 89% of the total electricity consumption at end-use level in Hong Kong. The city has undertaken numerous legislative measures to promote energy efficiency in buildings in order to conserve energy and alleviate climate change.";"The first Building Energy Efficiency Regulation in Hong Kong was passed in 1995. It specified statutory control on the design of the building envelope of new commercial and hotel buildings by using the Overall Thermal Transfer Value (OTTV) method, applicable to warmer climactic conditions.
In 1998, four sets of energy efficiency codes of practice for design of building services, called ‘Building Energy Codes (BEC)’ were prepared and implemented on a voluntary basis. These codes covered lighting, air conditioning, power, and lift & escalator installations. The Electrical & Mechanical Services Department (EMSD) of the city launched the Hong Kong Energy Efficiency Registration Scheme for Buildings (HKEERSB) to promote the adoption of these codes. Buildings adopting the BECs were issued a certificate, however, this was discretionary .
In 2008, the Chief Executive of the Government of the Hong Kong Special Administrative Region announced their intention to support a low carbon economy. The Buildings Energy Efficiency Ordinance (BEEO) was subsequently legislated as a major government measure for achieving this goal. The ordinance covers new construction and major retrofits of existing commercial buildings.";2010;"Urban energy";"New efficient constructions";"Whole city approaches"
35;"Barcelona";"Barcelona";"ESP";"Barcelona benefits from an average of 2,800 hours of sunshine every year. Because of this, it sought to reduce its effect on the environment and lower the carbon footprint of its building sector by harnessing solar energy to provide solar thermal hot water.";"Since 1999, Barcelona has created targeted programs and schemes, regulations and legislations that have helped shaped Barcelona’s building efficiency outcomes for new constructions. In particular, Barcelona’s City Council passed the Solar Thermal Ordinance (STO) to harness their abundant solar energy resource for new buildings, making it the first city in Europe to have an STO. In 2002, the council established a target of reaching 96,300 square meters of solar collectors installed in the city, for an estimated thermal generation of some 778 gigawatt hours per year by 2010.";1999;"Urban energy";"New efficient constructions";"Whole city approaches"
36;"Brussels";"Brussels";"BEL";"In Brussels, the construction sector represents 70 percent of energy consumption, which has driven the region to develop ambitious policies.  In 2011, they implemented the Energy Performance of Buildings Directive (EPBD) from the European Union, which aims to reduce emissions by 20 percent across Europe by 2020.";"In 2004, after the regional elections, the awareness and desire to act against climate-change took root in the Brussels- Capital Region. One of the Region’s flagship projects – the “Exemplary Buildings” project, which calls for the construction and renovation of buildings meeting high-energy standards – saw the light of day in 2007. Starting 1st January 2015, all new buildings (housing, office, service buildings, or schools) were required to be up to the Passive Standard that is to say the level of “nearly zero or very low energy consumption reached thanks to high energy performance” (NZEB definition). To facilitate the implementation of this approach, the region developed the expertise and resources necessary to respond to the demand and supply aspects of sustainable buildings.";1999;"Urban energy";"New efficient constructions";"Whole city approaches"
37;"Istanbul";"Istanbul";"TUR";"The buildings sector in Turkey has grown more than 78 percent since 1984, increasing the area of land covered by commercial and public buildings. As a result, it faces a considerable increase in demand of energy, which represents the second largest energy-consuming sector with a 34.7 percent of total consumption. Between years 2000-2006, about 750,000 buildings received construction permits, of which about 38 percent represented the non-residential sector (including hospitals, office, industrial, schools, etc.). The expectation is that the technological developments, energy efficiency, economic growth and improved living standards would result in an estimated increase of 9 percent of the national building stock until 2021.";"The Ministry of Environment and Urbanization of Turkey has taken the lead on implementing policies that helps reduce energy consumption in buildings, including for new constructions. In 2010, it released the National Climate Change Action Plan 2011-2021, which aims to reduce energy consumption of new buildings by 20 percent. In addition, the Ministry provided a set of regulations to improving thermal heat insulation, strengthening necessary infrastructure, and promoting use of renewable energy. Other projects like Promoting Energy Efficiency in Buildings are helping reduce energy consumption and GHG in public buildings by raising the standards, improving enforcement, enhancing energy management, and the use of integrated design approach.";2011;"Urban energy";"New efficient constructions";"Whole city approaches"
