"name";"category_0";"category_1";"category_ 2";"category_3"
"Investments usually have a long pay-back period.";"Project/investment";"Implementation";"Sequencing";"Good progress, appropriate timing & sequencing of activities"
"The system design (fee structure, station locations, and station density) could be profit-oriented and might not be tailored to the real mobility needs of a city.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Experience in advocacy and effective outreach efforts.";"Stakeholder/actor";"Coordination & Engagement";"Stakeholder Engagement & consensus";"Ability to effectively engage beneficiaries or relevant stakeholders"
"Staff is trained in back-end operations, saving costs of engaging a for-profit operator.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Non-profit organizations have funding and capacity limitations, and need public grants or private sponsorships to operate the system.";"Project/investment";"Budgeting & financial management";"Budget allocation";"Appropriate budget allocation"
"Efficient and transparent bidding process.";"Project/investment";"Implementation";"Procurement & contracts";"Efficient and transparent bidding process and procurement management systems"
"Fair risk sharing between the public and private actors.";"Project/investment";"Implementation";"Procurement & contracts";"Well-structured contracts with clear specifications of the requirements and contract term"
"Ease of getting approvals and permits.";"Context";"Business environment & politics";"Legislation & Regulations";"Expedited permitting, uncomplicated legal or regulatory processes & one-stop shops"
"Timely disbursement of funding.";"Project/investment";"Implementation";"Sequencing";"Good progress, appropriate timing & sequencing of activities"
"Well-defined, and binding contract.";"Project/investment";"Implementation";"Procurement & contracts";"Well-structured contracts with clear specifications of the requirements and contract term"
"Lack of confidence in the public sector.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Weak private sector.";"Context";"Business environment & politics";"Private Sector development";
"Poor project design and phasing.";"Project/investment";"Project Design";"Objectives& strategy";"Simple project design"
"Lack of proper performance indicators.";"Project/investment";"Implementation";"Indicators & reporting";"Well-developed performance indicators aligned with objectives"
"Lack of enabling institutional frameworks, need to amend existing legislation to facilitate engaging the private sector for public sector works.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Poor financial management.";"Project/investment";"Budgeting & financial management";"Budget allocation";"Supportive budget processes and management, including disbursement, financial control, and financial reporting"
"Outlining specific goals and objectives.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Efficient coordination with state/local Departments of Transportation, Public Transit Agencies.";"Stakeholder/actor";"Coordination & Engagement";"Stakeholder Engagement & consensus";"Effective mechanisms for engaging key stakeholders and enabling collective action"
"Extensive outreach efforts and comprehensive public process.";"Stakeholder/actor";"Coordination & Engagement";"Stakeholder Engagement & consensus";"Ability to raise awareness and share information with beneficiaries and/or the general public"
"Well-developed performance indicators.";"Project/investment";"Implementation";"Indicators & reporting";"Well-developed performance indicators aligned with objectives"
"Require a long time to be approved and mandated, due to an extensive review process.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Differ from one jurisdiction to another.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Clearly define the initiatives and outline projects to be undertaken.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Develop enabling legislation, and regulations.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Build capacity to facilitate implementation of the plan.";"Stakeholder/actor";;;
"Integrating bike-share systems as part of the mobility system of the city can help foster development of complementing bicycle infrastructure and change people’s perception towards bicycling.";"Project/investment";"Project Design";"Objectives& strategy";"Simple project design"
"Objectives and initiatives can be high-level, outlining the long-term vision of the city.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Collaboration with local non-profits, advocacy groups, and educational institutions.";"Stakeholder/actor";"Coordination & Engagement";"Stakeholder Engagement & consensus";"Ability to effectively engage beneficiaries or relevant stakeholders"
"Effective articulation of benefits to appeal to all demographic groups.";"Stakeholder/actor";"Coordination & Engagement";"Stakeholder Engagement & consensus";"Ability to raise awareness and share information with beneficiaries and/or the general public"
"Short Term";"Project/investment";"Implementation";"Sequencing";"Good progress, appropriate timing & sequencing of activities"
"Limited Funding and Scope";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Control over budget in relevant area"
"Require a long time to be approved and mandated.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Solvency and possession of substantial liquid assets.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Control over budget in relevant area"
"Ability to take higher risks.";"Stakeholder/actor";"Powers & leadership";;
"Equity is more expensive than debt because, equity investors bear higher risks, and therefore are also entitled to higher returns.";"Stakeholder/actor";"Powers & leadership";;
"Good credit rating.";"Stakeholder/actor";;;
"Solvency.";"Stakeholder/actor";;;
"Ability to provide a collateral or a guarantee.";"Stakeholder/actor";"Powers & leadership";;
"High interest rates.";"Context";"Markets & financial system";;
"Fixed payback periods.";"Context";"Markets & financial system";;
"Projects with higher risks.";"Project/investment";"Project Design";"Risk perceptions";
"Need to meet eligibility requirements.";"Stakeholder/actor";;;
"Knowledge of how to set up/draft such guarantees.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Availability.";"Context";"Business environment & politics";;
"Willingness of public agencies to provide guarantees.";"Context";"Business environment & politics";;
"Ability to have a central registration system and payment gateway.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Effective revenue collection systems"
"Minimum requirements, and multiple registration avenues (online, cell phone, stations, etc.)";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Appropriate payment modalities"
"Ability to accept multiple modes of payment (cash, credit cards, etc.)";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Appropriate payment modalities"
"Annual memberships offer substantial discounts compared to short-term plans, which may at times result in more users registering for annual passes, limiting system revenues.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"Short-terms users, especially international tourists may find it difficult to provide requisite ID documents, or pay for the system (lack of alternate payment methods such as cash).";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Effective revenue collection systems"
"Carefully designed pricing structure (Poorly design user charges may discourage users from using the system for longer trips).";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"Assessments of usage patterns have revealed that short-term users such as tourists are more likely to take longer rides, beyond the specified time limit and incur user fees, so revenue depends on no. of short-term users.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"Ability to block an amount on the users’ credit card, or obtain a security deposit during registration.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";
"Ability to enforce fines by deducting amount from credit cards, security deposit.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to set and enforce of policies/regulations"
"Cost recovered through fines and deposits may only cover a portion of costs arising from damage to assets.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"Setting fines too high may discourage users.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"Blocking large amounts on credit card/demanding a high deposit during registration may deter users.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"Authority/right to sell equipment.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to influence policies/regulation setting and/or enforcement"
"Technical capacity to manufacture equipment.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Logistical costs attached to producing and selling equipment.";"Project/investment";"Budgeting & financial management";"Budget allocation";"Appropriate budget allocation"
"Public agencies may need to get requisite permits to sell equipment.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to influence policies/regulation setting and/or enforcement"
"Ability to raise property taxes.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to collect local revenues (e.g. taxes, fines)"
"Ability to convene private land owners.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to set and enforce of policies/regulations"
"Supporting legal and regulatory framework.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Robust fiscal base.";"Context";"Markets & financial system";;
"Technical capacity to assess value increment and adequate updates of cadasters.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Robust real estate and economic conditions.";"Context";"Markets & financial system";;
"Can be difficult to estimate future revenues as TIF revenues strongly depend on future property market dynamics.";"Context";"Markets & financial system";;
"May require an amendment to the zoning code.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"The advertising revenue depends on the size and location of the systems.";"Context";"Physical & built environment";;
"May have to be complemented with a public grant or user fees.";"Project/investment";"Budgeting & financial management";"Budget allocation";"Appropriate budget allocation"
"The operator will need to develop a program for soliciting advertisements in collaboration with the city on aspects such as brands permitted to be associated with the system, revenue sharing, etc.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"An attractive sponsorship program that provides high visibility to the sponsor’s brand.";"Project/investment";"Implementation";"Procurement & contracts";"Well-structured contracts with clear specifications of the requirements and contract term"
"Well-defined project objectives, and tangible social and environmental benefits.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Legislative provision to lease space to a private entity.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Careful allocation of space to prevent hindrance to pedestrian movement, vehicular traffic, and other activities.";"Project/investment";"Project Design";;
"Eligibility to receive a grant.";"Stakeholder/actor";;;
"Proven ability to utilize funding.";"Stakeholder/actor";;;
"Could be limited in size and used only for specific aspects (e.g. capital expenses).";"Project/investment";;;
"Eligibility may be restricted (in terms of who can access the grant and what it can be used for).";"Stakeholder/actor";;;
"Use up public funds, which could be prioritized for other purposes.";"Project/investment";"Budgeting & financial management";"Budget allocation";"Appropriate budget allocation"
"Have to compete with other projects/initiatives to qualify.";"Context";"Markets & financial system";;
"Eligibility to receive a donation.";"Stakeholder/actor";;;
"Could be one-time.";;;;
"High anticipated usage.";"Context";"Demographic, social & cultural";"Population";
"Potential of increasing foot-traffic.";"Context";"Demographic, social & cultural";;
"Opportunity to connect to the larger transportation network in the city.";"Project/investment";"Project Design";;
"Consensus in choosing station locations.";"Stakeholder/actor";"Coordination & Engagement";"Stakeholder Engagement & consensus";"Ability to effectively engage beneficiaries or relevant stakeholders"
"Availability of funds.";"Stakeholder/actor";"Powers & leadership";;
"Often limited funds.";"Stakeholder/actor";;;
"Willingness to allocate funds to bike-share depends on the incumbent leadership’s commitment to bicycling in the city.";"Stakeholder/actor";"Powers & leadership";"Ability to set priorities & vision";"High degree of senior commitment"
"Legislative provisions for revenue transfer.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Coordination with tax-collecting authorities.";"Stakeholder/actor";"Coordination & Engagement";"Bureaucratic Structure";"Bureaucratic structures that enable coordination and dialogue"
"Difficult to implement since numerous entities strongly lobby against it.";"Context";"Business environment & politics";"Corruption, Patronage, Political Interference";
"Irregular revenue source (amount can vary each month).";"Project/investment";"Implementation";"Sequencing";"Good progress, appropriate timing & sequencing of activities"
"Legislative provisions for revenue transfer.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Coordination with parking authorities.";"Stakeholder/actor";"Coordination & Engagement";"Bureaucratic Structure";"Bureaucratic structures that enable coordination and dialogue"
"Coordination with tax-collecting authorities.";"Stakeholder/actor";"Coordination & Engagement";"Bureaucratic Structure";"Bureaucratic structures that enable coordination and dialogue"
"Coordination with fee-collecting authorities.";"Stakeholder/actor";"Coordination & Engagement";"Bureaucratic Structure";"Bureaucratic structures that enable coordination and dialogue"
"Not an assured revenue source, as amount of fees collected can change based on extent of activity.";"Context";"Demographic, social & cultural";;
"Political will and commitment to reducing GHG at the national level.";"Stakeholder/actor";"Powers & leadership";"Ability to set priorities & vision";"High degree of senior commitment"
"Often high-level, has to be adapted to local contexts.";"Context";"Business environment & politics";;
"Clear legislative frameworks with well-developed regulations and policies.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Coordination between different agencies may be difficult.";"Stakeholder/actor";"Coordination & Engagement";"Bureaucratic Structure";"Bureaucratic structures that enable coordination and dialogue"
"Legislation/initiatives may change with political cycles depending on environmental commitments of incumbent city leaders.";"Stakeholder/actor";"Powers & leadership";"Ability to set priorities & vision";"High degree of senior commitment"
"Ability to convert vision into enabling legislation, and regulations.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Build capacity to facilitate implementation of outlined strategies.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Choosing the most effective scale and methodology.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Developing strategic partnerships and collaborations with technical experts.";"Stakeholder/actor";"Coordination & Engagement";"Stakeholder Engagement & consensus";
"Sometimes the chosen scale could not be the best one to assess the true impact of an experimental approach.";"Project/investment";"Project Design";"Objectives& strategy";"Simple project design"
"Presence of a local energy legislation.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Availability of funding, and financing mechanisms.";"Context";"Markets & financial system";;
"Huge upfront investments in generation plants, and distribution networks.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to influence budget"
"Effective awareness and promotion strategies coupled with attractive incentives.";"Project/investment";"Project Design";"Objectives& strategy";"Simple project design"
"Technical ability to build capacity.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Clear definitions of requirements and standards.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Capacity to administer and regulate requirements.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to set and enforce of policies/regulations"
"Established review and permitting mechanisms and capacity to conduct reviews.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Could lead to extended administrative processes, and delayed approvals.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Clearly defined energy performance or sustainability standards.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Standards aligning with available certifiers and service providers in the market.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Clearly outlined requirements.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Capacity to enforce them.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to set and enforce of policies/regulations"
"Development of a central database to maintain building certificate records.";"Project/investment";"Implementation";"Indicators & reporting";"Program funding linked to performance & assessed through periodic reviews"
"Resources and capacity to maintain and monitor the database.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
"Ability to develop enabling policies, and regulations.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to set policies/regulations"
"Ability to develop an implementation framework.";"Project/investment";"Implementation";"Sequencing";"Good progress, appropriate timing & sequencing of activities"
"There may be a gap between the initiatives planned and enabling legislative and institutional structures at lower levels of the government.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Ability to develop and amend complementing legislation.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to set policies/regulations"
"Ability to develop an implementation plan.";"Project/investment";"Implementation";"Sequencing";"Good progress, appropriate timing & sequencing of activities"
"Amending legislation such as zoning codes can take a long time, affecting the implementation timeframe.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Supporting processes such as development review and permitting to enforce requirements.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Capacity to enforce and regulate requirements.";"Stakeholder/actor";"Powers & leadership";"Control over regulation, policy, and budget";"Ability to set and enforce of policies/regulations"
"Need to meet eligibility requirements.";"Stakeholder/actor";;;
"Often tailored to a specific activity.";"Project/investment";;;
"Need to meet eligibility requirements for all lenders.";"Stakeholder/actor";;;
"Could be limited in size and used only for specific aspects (e.g. capital expenses).";"Context";;;
"Eligibility may be restricted (in terms of who can access the grant and what it can be used for).";"Stakeholder/actor";;;
"Use up public funds, which could be prioritized for other purposes.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"Usually disbursed at the national-level.";"Context";"Business environment & politics";"Legislation & Regulations";
"Structuring fee reductions such that they are attractive to developers.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"Publicly-owned utility companies.";"Context";"Business environment & politics";;
"Rebates structured such that they are attractive to consumers and encourage resource conservation.";"Project/investment";"Budgeting & financial management";"Revenue generation & collection";"Carefully designed pricing structure"
"Structuring bonuses and certification requirements that are aligned with each other, and are attractive to developers.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Requires an amendment to the Zoning Code and/or Building Regulations, which could be a protracted process.";"Context";"Business environment & politics";"Legislation & Regulations";"Supportive laws, regulation & land-use policies"
"Needs to ensure that there are adequate setbacks from adjacent properties.";"Project/investment";"Project Design";"Objectives& strategy";"Realistic objectives & targets"
"Availability of funding and technical capacity to implement such initiatives and programs.";"Stakeholder/actor";"Human Resources & Organizational Capacity";"Skilled workforce";"Appropriately skilled agency & project staff"
